category,class,total_species,gap_species,pct_gap
CR,MARCHANTIOPSIDA,1,1,100.0
CR,ACTINOPTERYGII,708,497,70.2
CR,LYCOPODIOPSIDA,12,8,66.7
CR,BRYOPSIDA,15,10,66.7
CR,LILIOPSIDA,251,163,64.9
CR,REPTILIA,406,261,64.3
CR,POLYPODIOPSIDA,27,17,63.0
CR,MAGNOLIOPSIDA,1027,635,61.8
CR,AMPHIBIA,819,464,56.7
CR,MAMMALIA,238,120,50.4
CR,JUNGERMANNIOPSIDA,2,1,50.0
CR,FLORIDEOPHYCEAE,6,3,50.0
CR,SPHAGNOPSIDA,1,0,0.0
CR,PINOPSIDA,2,0,0.0
CR,PETROMYZONTI,4,0,0.0
CR,CHONDRICHTHYES,7,0,0.0
EN,ANTHOCEROTOPSIDA,1,1,100.0
EN,ACTINOPTERYGII,1211,717,59.2
EN,POLYPODIOPSIDA,35,19,54.3
EN,CHONDRICHTHYES,10,5,50.0
EN,AMPHIBIA,1291,632,49.0
EN,REPTILIA,759,367,48.4
EN,MAMMALIA,559,246,44.0
EN,LYCOPODIOPSIDA,7,3,42.9
EN,LILIOPSIDA,323,136,42.1
EN,JUNGERMANNIOPSIDA,12,5,41.7
EN,MAGNOLIOPSIDA,1363,565,41.5
EN,BRYOPSIDA,27,11,40.7
EN,PETROMYZONTI,6,2,33.3
EN,SPHAGNOPSIDA,1,0,0.0
EN,SARCOPTERYGII,1,0,0.0
EN,PINOPSIDA,3,0,0.0
NT,POLYPODIOPSIDA,17,9,52.9
NT,ACTINOPTERYGII,757,358,47.3
NT,AMPHIBIA,453,190,41.9
NT,REPTILIA,539,180,33.4
NT,PETROMYZONTI,6,2,33.3
NT,LILIOPSIDA,141,46,32.6
NT,LYCOPODIOPSIDA,7,2,28.6
NT,MAGNOLIOPSIDA,717,184,25.7
NT,MAMMALIA,399,92,23.1
NT,BRYOPSIDA,21,3,14.3
NT,CHONDRICHTHYES,9,1,11.1
NT,POLYTRICHOPSIDA,1,0,0.0
NT,PINOPSIDA,1,0,0.0
NT,MARCHANTIOPSIDA,1,0,0.0
NT,JUNGERMANNIOPSIDA,9,0,0.0
VU,FLORIDEOPHYCEAE,3,3,100.0
VU,ACTINOPTERYGII,1219,695,57.0
VU,LYCOPODIOPSIDA,9,4,44.4
VU,REPTILIA,584,242,41.4
VU,BRYOPSIDA,27,11,40.7
VU,AMPHIBIA,813,329,40.5
VU,LILIOPSIDA,248,89,35.9
VU,MAMMALIA,567,201,35.4
VU,MAGNOLIOPSIDA,1234,427,34.6
VU,POLYPODIOPSIDA,23,7,30.4
VU,JUNGERMANNIOPSIDA,9,2,22.2
VU,CHONDRICHTHYES,19,4,21.1
VU,PINOPSIDA,2,0,0.0
VU,PETROMYZONTI,3,0,0.0
VU,MARCHANTIOPSIDA,1,0,0.0
VU,ANDREAEOPSIDA,1,0,0.0
